task_id,arm,seed,epoch,train_loss,val_loss,curved_parent_mse,planar_parent_mse,edge_parent_mse,entropy_perplexity,coverage,unique_bins,lr,lr_after_scheduler,preclip_grad_norm,grad_clip_was_effective,train_batches,finite_train_batches,skipped_train_batches,val_batches,finite_val_batches,finite_val_samples,nonfinite_loss_batches,nonfinite_gradient_batches,nonfinite_state_batches,nonfinite_state_audits,nonfinite_val_batches,nonfinite_val_samples,training_state_finite,finite_state_audit_status
continuous_bypass_64d:seed3,continuous_bypass_64d,3,38,0.00058341,0.00084981,0.0021231551085200725,0.000185793978980698,0.00038724939416865566,,,,0.0003,0.0003,0.056267354637384415,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,39,0.00041039,0.00085748,0.0019530799071752585,0.00023610551705346148,0.0004396398578071539,,,,0.0003,0.0003,0.05289255827665329,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,40,0.00041868,0.0008297,0.0019623632216400457,0.00020000307904779812,0.0004107154394308357,,,,0.0003,0.0003,0.057127706706523895,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,41,0.00041644,0.00075558,0.0017672416922253481,0.00017202013235055193,0.0003634064971920069,,,,0.0003,0.0003,0.043224141001701355,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,42,0.00039218,0.00094596,0.002308865335784755,0.0002951491854166347,0.0004915068623971296,,,,0.0003,0.0003,0.04728244990110397,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,43,0.00043741,0.00085959,0.0020182290442606766,0.00023062684571934137,0.00041055376141813115,,,,0.0003,0.0003,0.052788734436035156,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,44,0.00041262,0.00092453,0.002228255995286917,0.0003073647766459331,0.00045532905688427526,,,,0.0003,0.0003,0.044600047171115875,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,45,0.00054986,0.00074682,0.00180326050774977,0.00015033230968531755,0.0003405429705724309,,,,0.0003,0.0003,0.07744792103767395,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,46,0.00034808,0.00079331,0.001820957726419148,0.00019614754791444488,0.00042967149813655486,,,,0.0003,0.0003,0.03884001076221466,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,47,0.00037207,0.0007767,0.0018039966222191265,0.00017453711648003162,0.00038071068333017313,,,,0.0003,0.0003,0.04865371063351631,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,48,0.00034317,0.00066649,0.001506551587394629,0.00011745152702541705,0.0003160014198350761,,,,0.0003,0.0003,0.055614933371543884,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,49,0.00036445,0.00082617,0.0019300564200931995,0.0002057081578530031,0.0004119088819511931,,,,0.0003,0.0003,0.05264180898666382,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,50,0.00044381,0.00081661,0.0019571875493590045,0.0002270476272959221,0.00038166093582349083,,,,0.0003,0.0003,0.06535716354846954,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,51,0.00040626,0.00089794,0.002020714449315699,0.00026763142826817434,0.0004680059558508207,,,,0.0003,0.0003,0.050136975944042206,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,52,0.00031816,0.00068793,0.00156096023109529,0.00012206384628882172,0.00033494996046096995,,,,0.0003,0.0003,0.04771305248141289,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,53,0.00037465,0.00082927,0.0020837675241138272,0.0002417513318420559,0.00039513089843736584,,,,0.0003,0.0003,0.04975488409399986,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,54,0.00045491,0.00081245,0.0018952363648917425,0.0002032707298552665,0.0003927627775020891,,,,0.0003,0.0003,0.10916534066200256,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,55,0.00036101,0.00079891,0.0018509823456219002,0.00019552322321331818,0.0003723346370370461,,,,0.0003,0.0003,0.04429366812109947,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,56,0.00037157,0.00068211,0.0016193350692856314,0.00010983352417143704,0.00031984785164400613,,,,0.0003,0.0003,0.08542279899120331,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,57,0.00028292,0.00066386,0.0015086954088227686,0.00011382060569076576,0.0003184003257667983,,,,0.0003,0.00015,0.03404269739985466,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,58,0.00021676,0.00057315,0.0013349274548795011,6.321767261640954e-05,0.00024352551465691645,,,,0.00015,0.00015,0.03449612483382225,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,59,0.00016669,0.00057633,0.0013035485447679327,5.7148430842343385e-05,0.0002515219886708578,,,,0.00015,0.00015,0.01912354864180088,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,60,0.00016687,0.00061263,0.0014355487109064665,8.182459795567659e-05,0.00025460549106847324,,,,0.00015,0.00015,0.03189917281270027,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,61,0.00019344,0.00058527,0.0013085873402148627,5.8588502695737876e-05,0.0002594940747495165,,,,0.00015,0.00015,0.04476524516940117,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,62,0.00022779,0.00064264,0.0014764910422627561,0.00011423605783561745,0.00029609952363750133,,,,0.00015,0.00015,0.04655972495675087,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,63,0.00019449,0.00057447,0.001340675217898473,6.867700945591257e-05,0.0002490353182503876,,,,0.00015,0.00015,0.03596058860421181,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,64,0.00015256,0.00058246,0.0013582695083040192,6.0594029723106635e-05,0.00025321615309149603,,,,0.00015,0.00015,0.01796789839863777,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
