epoch,train/total_loss,train/recon_loss,train/vq_loss,train/codebook_usage,train/perplexity,train/learning_rate,val/total_loss,val/recon_loss,val/vq_loss,val/codebook_usage,val/perplexity,val/best_loss
13,0.0012100613676011562,0.0003928239457309246,0.0008172374218702316,0.035196054726839066,186.0677490234375,9.999999747378752e-05,0.001074412022717297,0.0006482512690126896,0.0004261606954969466,0.862060546875,151.40968322753906,0.0004822754126507789
14,0.00106726901140064,0.00037846274790354073,0.0006888062926009297,0.03518097475171089,186.08143615722656,9.999999747378752e-05,0.0008947119931690395,0.0005272136186249554,0.00036749840364791453,0.8677978515625,149.71359252929688,0.0004822754126507789
15,0.0009455473627895117,0.0003533900890033692,0.000592157244682312,0.03515712544322014,185.39419555664062,9.999999747378752e-05,0.0007756286067888141,0.00043878337601199746,0.00033684525988064706,0.8646240234375,146.2473602294922,0.00043878337601199746
16,0.0008785109384916723,0.00033779925433918834,0.0005407116841524839,0.03509187698364258,184.29742431640625,9.999999747378752e-05,0.0007952501764521003,0.0004616588121280074,0.00033359136432409286,0.8743896484375,149.98387145996094,0.00043878337601199746
17,0.0008148849010467529,0.000320771592669189,0.000494113308377564,0.03506336361169815,183.73623657226562,9.999999747378752e-05,0.0007217813399620354,0.0004146737337578088,0.0003071076062042266,0.8824462890625,151.98748779296875,0.0004146737337578088
18,0.0007642853888683021,0.000309539376758039,0.0004547460121102631,0.034991875290870667,182.22955322265625,9.999999747378752e-05,0.0006569168181158602,0.00039355189073830843,0.0002633649273775518,0.87890625,150.79368591308594,0.00039355189073830843
19,0.0007201285916380584,0.0002961003629025072,0.0004240281996317208,0.03492922708392143,180.66578674316406,9.999999747378752e-05,0.000700179545674473,0.0004180256219115108,0.0002821539237629622,0.88134765625,149.72816467285156,0.00039355189073830843
20,0.0006826847675256431,0.00028393114916980267,0.0003987536474596709,0.034840259701013565,179.1322021484375,9.999999747378752e-05,0.0007365120691247284,0.0004473457229323685,0.00028916631708852947,0.8853759765625,150.4520721435547,0.00039355189073830843
21,0.0006509327795356512,0.00027564592892304063,0.0003752868215087801,0.03480558469891548,178.9730987548828,9.999999747378752e-05,0.0006569166434928775,0.0003932387917302549,0.0002636778517626226,0.893798828125,151.00067138671875,0.0003932387917302549
22,0.00062759272987023,0.00026611931389197707,0.0003614734159782529,0.034781455993652344,178.1101837158203,9.999999747378752e-05,0.0006271047168411314,0.0003789914771914482,0.00024811323964968324,0.8975830078125,152.09820556640625,0.0003789914771914482
23,0.0005955623928457499,0.00025418162113055587,0.00034138074261136353,0.03470795601606369,177.11865234375,9.999999747378752e-05,0.0005958705442026258,0.00036219993489794433,0.0002336705947527662,0.8924560546875,149.1439666748047,0.00036219993489794433
24,0.0005841624224558473,0.00025002274196594954,0.00033413968048989773,0.034598927944898605,175.21243286132812,9.999999747378752e-05,0.000549586839042604,0.0003389375051483512,0.00021064931934233755,0.8935546875,146.04046630859375,0.0003389375051483512
25,0.0005535914096981287,0.00024081129231490195,0.0003127800882793963,0.03450921177864075,173.77780151367188,9.999999747378752e-05,0.000582610722631216,0.00035675507388077676,0.00022585563419852406,0.8968505859375,152.7501220703125,0.0003389375051483512
26,0.0005286773084662855,0.00023178211995400488,0.0002968951885122806,0.03443298116326332,172.7769012451172,9.999999747378752e-05,0.0006103225168772042,0.00036346662091091275,0.00024685589596629143,0.8870849609375,150.28921508789062,0.0003389375051483512
27,0.0005155086400918663,0.00022817932767793536,0.0002873293124139309,0.03430707007646561,170.93760681152344,9.999999747378752e-05,0.0005540400743484497,0.0003546014195308089,0.00019943868392147124,0.9027099609375,149.22776794433594,0.0003389375051483512
