cad_id,joint_iterations,sewing_tolerance,step_relative_path,bytes,sha256,native_brep_valid,strict_brep_valid,both_valid,step_bytes_archived
00008763_affd199038524a1c8e3b7ad4_step_001,0,0.0001,steps/joint0_sew1e-04/00008763_affd199038524a1c8e3b7ad4_step_001.step,164142,91116bf82e9e1d799e05c6a670bd463a370fcf5f05a4fdfc41a60467dd53a94e,False,True,False,False
00008763_affd199038524a1c8e3b7ad4_step_001,0,0.001,steps/joint0_sew1e-03/00008763_affd199038524a1c8e3b7ad4_step_001.step,164142,82fa0e069da877a1f9107f1a9b164f6e46cae1713d4cfaa36bdb153aeea3b407,False,True,False,False
00008763_affd199038524a1c8e3b7ad4_step_001,0,0.01,steps/joint0_sew1e-02/00008763_affd199038524a1c8e3b7ad4_step_001.step,164142,25b7589b17a0de248daa48735a7a3d322f9a4f9615d6dbeb47e907f95dc6e04e,False,True,False,False
00008763_affd199038524a1c8e3b7ad4_step_001,200,0.0001,steps/joint200_sew1e-04/00008763_affd199038524a1c8e3b7ad4_step_001.step,197854,6050038c5d7f64006800edecdd417b61669fcdb3f0386b6257382c30c33b94d8,False,False,False,False
00008763_affd199038524a1c8e3b7ad4_step_001,200,0.001,steps/joint200_sew1e-03/00008763_affd199038524a1c8e3b7ad4_step_001.step,197854,4df5e39849cb75f2b090c268dc998dda26f7c44ba876df1595da2cc8b2aedd06,False,False,False,False
00008763_affd199038524a1c8e3b7ad4_step_001,200,0.01,steps/joint200_sew1e-02/00008763_affd199038524a1c8e3b7ad4_step_001.step,197854,768f653003c3313785e9b166d47adea406a75c1aa2771dea4e68c5749787dce2,False,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,0,0.0001,steps/joint0_sew1e-04/00029780_a4788d5955c04fe1886666b7_step_000.step,259478,6730f523112289d855c04c0a57e74a129036ea5c6768594cb28cbdbc7fde3549,True,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,0,0.001,steps/joint0_sew1e-03/00029780_a4788d5955c04fe1886666b7_step_000.step,259478,1453b14319136144a062a799b15cc1edb5b36edc06e3c40c9c4cb3189a0fdf72,True,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,0,0.01,steps/joint0_sew1e-02/00029780_a4788d5955c04fe1886666b7_step_000.step,259478,9b7bb0b309ba38758f66b2bc361e0cd60b0aa0f23b5fc97cd0675c917f05f5d5,True,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,200,0.0001,steps/joint200_sew1e-04/00029780_a4788d5955c04fe1886666b7_step_000.step,259112,9c9a83f7a834ab13b218907b9a25b75b58e69aabdb6af863076b8f976d3f07ff,True,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,200,0.001,steps/joint200_sew1e-03/00029780_a4788d5955c04fe1886666b7_step_000.step,259112,01b68d1e6247c0b08cffef6cb5951a74f3a0822c0e96083baa9e76742bfbe04f,True,False,False,False
00029780_a4788d5955c04fe1886666b7_step_000,200,0.01,steps/joint200_sew1e-02/00029780_a4788d5955c04fe1886666b7_step_000.step,259112,dcffae8e6645d533cdf43bf22d8c199defdecb9e7b2ab375a22627c9de9bd655,True,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,0,0.0001,steps/joint0_sew1e-04/00032101_674d8fea687f4d9bbca6599b_step_000.step,98028,ee454d3a16f0810398091bde310834e470b8062d66f1a6da5bef26b51bba4742,False,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,0,0.001,steps/joint0_sew1e-03/00032101_674d8fea687f4d9bbca6599b_step_000.step,98028,f827bd78cbd63e324cce4b0f5721a403e9df91e361802c6c327dbee7b01ed2a3,False,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,0,0.01,steps/joint0_sew1e-02/00032101_674d8fea687f4d9bbca6599b_step_000.step,98028,8aec958e74c905ca2f0434c8f8c7c9ac3ede8693089035fa125d6a4d0b407417,False,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,200,0.0001,steps/joint200_sew1e-04/00032101_674d8fea687f4d9bbca6599b_step_000.step,126400,07d841f31ac9fbb758fac17d40efb4a6648a339ad98772c210b5181ecb558959,False,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,200,0.001,steps/joint200_sew1e-03/00032101_674d8fea687f4d9bbca6599b_step_000.step,126400,3a3a3e87ed7e2b76766efc95a1e52ff15be38e33e64cc649ac8d45fa5baa5ba1,False,False,False,False
00032101_674d8fea687f4d9bbca6599b_step_000,200,0.01,steps/joint200_sew1e-02/00032101_674d8fea687f4d9bbca6599b_step_000.step,126400,4195ffaae49fab1206bff37f26b39956fd051178da64ad3658ee1f8417b4adfd,False,False,False,False
00047472_197769bbdd814278b715d88a_step_000,0,0.0001,steps/joint0_sew1e-04/00047472_197769bbdd814278b715d88a_step_000.step,311748,1c1b090dfe4c95fb5dd7cb32f64e36800fa6d578a7b7df6b08381d4513f7a4a5,True,False,False,False
00047472_197769bbdd814278b715d88a_step_000,0,0.001,steps/joint0_sew1e-03/00047472_197769bbdd814278b715d88a_step_000.step,311748,e311753b303473e05a46eb46e748c3fe8b9d3948e3bfccc81396d2a5754fc5cf,True,False,False,False
00047472_197769bbdd814278b715d88a_step_000,0,0.01,steps/joint0_sew1e-02/00047472_197769bbdd814278b715d88a_step_000.step,311748,5f0b8888ddcad09e2e4a5dca55eb19dbec64639d041d35fb024a2cd5cef1e0b0,True,False,False,False
00047472_197769bbdd814278b715d88a_step_000,200,0.0001,steps/joint200_sew1e-04/00047472_197769bbdd814278b715d88a_step_000.step,345254,8d3fdc0aafe9f8f99311789cabba61cdfaaf6c663d3e116c013162f749b48a8f,True,False,False,False
00047472_197769bbdd814278b715d88a_step_000,200,0.001,steps/joint200_sew1e-03/00047472_197769bbdd814278b715d88a_step_000.step,345254,3e4601094924aa235e09804e4075841bdd8cafeef918f9efbf799b690516d223,True,False,False,False
00047472_197769bbdd814278b715d88a_step_000,200,0.01,steps/joint200_sew1e-02/00047472_197769bbdd814278b715d88a_step_000.step,345254,38658b7789927a1bef7788a3def1e057415f73ae24660f20b93370363ccc7416,True,False,False,False
00051587_446e8810d6884cae80689579_step_000,0,0.0001,steps/joint0_sew1e-04/00051587_446e8810d6884cae80689579_step_000.step,160089,446bfae2f338c78812445a8cb22f326e8b89ccf96291bec56030ffd3a82ba81b,True,True,True,False
00051587_446e8810d6884cae80689579_step_000,0,0.001,steps/joint0_sew1e-03/00051587_446e8810d6884cae80689579_step_000.step,160089,7d6146a1300d92b55f750e3a30bd07adef49eafde949795fb81373183c011f38,True,True,True,False
00051587_446e8810d6884cae80689579_step_000,0,0.01,steps/joint0_sew1e-02/00051587_446e8810d6884cae80689579_step_000.step,160089,0b4fbbd5eaeb58e65ab1e31f30fa08b6b3f71bd44c8c7da9059ae0091dbfa528,True,True,True,False
00051587_446e8810d6884cae80689579_step_000,200,0.0001,steps/joint200_sew1e-04/00051587_446e8810d6884cae80689579_step_000.step,186769,f4e4dd2c6d91361469b81b586dd9c42539e3b24c76c4de4b451bdd4db03a6bd3,False,False,False,False
00051587_446e8810d6884cae80689579_step_000,200,0.001,steps/joint200_sew1e-03/00051587_446e8810d6884cae80689579_step_000.step,186769,4707ad01c795dca3e68e47a1646ef241464f1d7b4b0d53e02bf997620ead779c,False,False,False,False
00051587_446e8810d6884cae80689579_step_000,200,0.01,steps/joint200_sew1e-02/00051587_446e8810d6884cae80689579_step_000.step,186769,d8c0a9db53a54d63f93be261fc5ae81970c72649d1be74ec773661a5135275cd,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,0,0.0001,steps/joint0_sew1e-04/00063055_e309c689b9b44f0686f47966_step_000.step,136351,a4cf013a9cc3c9d414629883b39c312af508b65e350f0fecb01f595245dcf448,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,0,0.001,steps/joint0_sew1e-03/00063055_e309c689b9b44f0686f47966_step_000.step,136351,fe7ab9b719b8ff1bf0a2dc2c10317d8342b4a4f455faa694e023057a11a71408,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,0,0.01,steps/joint0_sew1e-02/00063055_e309c689b9b44f0686f47966_step_000.step,136351,6037b9e28e8e75f14d3594078470ee0474ff254f646996824dcbfb12f82e0750,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,200,0.0001,steps/joint200_sew1e-04/00063055_e309c689b9b44f0686f47966_step_000.step,144811,15a734e2e51fd80db408a67ff4b9509d87497a49cbc03532b12ef4dcdc2b8eaf,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,200,0.001,steps/joint200_sew1e-03/00063055_e309c689b9b44f0686f47966_step_000.step,144811,2bc158ee1ba6e6fde077f09f13f872898ac7279dfd6d11b8dd95c640e7eb3ee5,False,False,False,False
00063055_e309c689b9b44f0686f47966_step_000,200,0.01,steps/joint200_sew1e-02/00063055_e309c689b9b44f0686f47966_step_000.step,144811,07358c6212cae99fa83d85ceb3802be84c051db826212bf3425b8e90b3c982cb,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,0,0.0001,steps/joint0_sew1e-04/00067160_2a27016aa44f42c69c1079f7_step_000.step,204582,d9090f626452f944f5863b28f03c1f3c4a20fb0fb1885ea451ddb1f9f6b0f93a,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,0,0.001,steps/joint0_sew1e-03/00067160_2a27016aa44f42c69c1079f7_step_000.step,205740,008b8bc6a473f9f31ac8494e8aa14475acb3d6996467ad50fdb6a3711d28148a,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,0,0.01,steps/joint0_sew1e-02/00067160_2a27016aa44f42c69c1079f7_step_000.step,205740,2c3792ea5b1f2a92ba540b0138bfd984f3671f0a26c16e0b8f657b75e64c455f,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,200,0.0001,steps/joint200_sew1e-04/00067160_2a27016aa44f42c69c1079f7_step_000.step,219836,5acbf536c9813cd3f3bd73f928a66d893f0e7d5b23be18884e76be2914345e5a,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,200,0.001,steps/joint200_sew1e-03/00067160_2a27016aa44f42c69c1079f7_step_000.step,221399,b97018cf5cb5e9628904fadaf20c92cad751dc8a51e557217157352e264e8e14,False,False,False,False
00067160_2a27016aa44f42c69c1079f7_step_000,200,0.01,steps/joint200_sew1e-02/00067160_2a27016aa44f42c69c1079f7_step_000.step,221399,5aede0b17d24a2740485ac1d9c88df0bf6c7c2cf1a5c2c7567f580dd3f9d93d2,False,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,0,0.0001,steps/joint0_sew1e-04/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,287354,3f3ccc20bed32027b76a523bd6584558bd6015dc204ab3309310f597033f6e1f,True,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,0,0.001,steps/joint0_sew1e-03/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,287354,b91b62284deae89e5dac3603b9bdf1fee03838d88f45e5c2b8231102a5a5d7d8,True,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,0,0.01,steps/joint0_sew1e-02/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,287354,e8ae29b1cd0a9e35664e8ca3d8c57050a2cc3b886b07989b65213ccc28b344a6,True,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,200,0.0001,steps/joint200_sew1e-04/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,324841,8c3308bbd26b77e1a81c3400d3da321c6313b2e3838628608b9ee85b4de040c9,True,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,200,0.001,steps/joint200_sew1e-03/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,324841,9542a8dae5f46425bbfee9e4f09c658ebe7158f555715f4433e73fe363572b8b,True,False,False,False
00076198_7fde7438ca5d3ccb8a1dd1f4_step_000,200,0.01,steps/joint200_sew1e-02/00076198_7fde7438ca5d3ccb8a1dd1f4_step_000.step,324511,ff72e45b24443ecff2d127aa137c3c4cc286022a3506a07046196cc01a258b58,True,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,0,0.0001,steps/joint0_sew1e-04/00095733_8b325d2fcb27ec9e79388602_step_000.step,266844,296b5b7c1f34181301203325d86c89adc0f482fd853f2faa3940cfb707d2d6d5,False,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,0,0.001,steps/joint0_sew1e-03/00095733_8b325d2fcb27ec9e79388602_step_000.step,268021,4e1c6a5afbd4fbeef2e44dc8986426367a9898fb3cd22bb786fa6cf2cfec2cd2,False,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,0,0.01,steps/joint0_sew1e-02/00095733_8b325d2fcb27ec9e79388602_step_000.step,268021,7cd34cab835343b4bde42c9d085f17a07f9d43cae5d00b8bb5559d3eaa28a27b,False,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,200,0.0001,steps/joint200_sew1e-04/00095733_8b325d2fcb27ec9e79388602_step_000.step,288052,370756004a5f9f64fcdb34f315de516016349b8d4241c25d7268b66ac94523ee,False,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,200,0.001,steps/joint200_sew1e-03/00095733_8b325d2fcb27ec9e79388602_step_000.step,289229,1e8f36f37caddf86377c4cc08dd5e3355efaa9960cae0409e633599d7eb75c44,False,False,False,False
00095733_8b325d2fcb27ec9e79388602_step_000,200,0.01,steps/joint200_sew1e-02/00095733_8b325d2fcb27ec9e79388602_step_000.step,289229,7ec1f3334349854f1e9271c4a81af77c7da3b5a37fd85bc9a225afe6100b0bb8,False,False,False,False
